선정차수,번호,지역,상호,주소,상표,셀프여부
1차,A0016791,대전 서구,중도석유(주) 대덕주유소,대전 서구 월평북로 84 (월평동),GS칼텍스,셀프
1차,A0016874,대전 유성구,(주)하나주유소,대전 유성구 유성대로 1127 (하기동),HD현대오일뱅크,일반
1차,A0027641,부산 사상구,광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,SK에너지,셀프
1차,A0027480,부산 강서구,제일주유소,부산 강서구 가락대로 1417,GS칼텍스,일반
1차,A0032126,부산 강서구,금룡주유소,부산 강서구 가락대로 1361 (봉림동),S-OIL,일반
1차,A0010124,서울 노원구,상계동주유소,서울 노원구 노원로26길 191 (상계동),HD현대오일뱅크,일반
1차,A0005900,서울 은평구,(주)아이에스피에너지(서울서부고속주유소),서울 은평구 응암로 163,HD현대오일뱅크,셀프
1차,A0000849,서울 구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,셀프
1차,A0001155,서울 관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,셀프
1차,A0000491,서울 강서구,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2,SK에너지,셀프
1차,A0032674,서울 도봉구,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,셀프
1차,A0000146,서울 마포구,마포시엠주유소,서울 마포구 월드컵북로 62,SK에너지,일반
1차,A0000480,서울 강서구,개화주유소,서울 강서구 양천로 57,SK에너지,셀프
1차,A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),S-OIL,셀프
1차,A0009490,서울 성북구,우리주유소,서울 성북구 화랑로 292,SK에너지,셀프
1차,A0000421,서울 영등포,(주)강서오일,서울 영등포구 도신로 151,HD현대오일뱅크,셀프
1차,A0033459,세종시,㈜진성 가람Self주유소,세종특별자치시 금송로 589,SK에너지,셀프
1차,A0014391,세종시,새롬주유소,세종시 어울로 77 (새롬동),SK에너지,셀프
1차,A0033469,세종시,세종반곡주유소,세종특별자치시 국책연구원3로 9,S-OIL,셀프
1차,A0033332,세종시,아주알뜰주유소 ㈜아주,세종특별자치시 다정북로 40,알뜰주유소,셀프
1차,A0033200,세종시,도담알뜰주유소,세종 갈매로 596,알뜰주유소,셀프
1차,A0012069,울산 울주군,구도일주유소 워싱데이,울산 울주군 범서읍 구영로 240,S-OIL,셀프
1차,A0031650,울산 울주군,남주유소,울산 울주군 삼남면 중남로 100,SK에너지,일반
1차,A0031489,울산 울주군,통도IC주유소,울산 울주군 삼남면 반구대로 38,S-OIL,셀프
1차,A0031636,울산 울주군,방기주유소,울산 울주군 삼남면 하방로 26,S-OIL,셀프
1차,A0031655,울산 울주군,성산주유소,울산 울주군 범서읍 관문로 600,SK에너지,일반
1차,A0031633,울산 울주군,㈜이림 삼남지점,울산 울주군 삼남면 반구대로 640,S-OIL,셀프
1차,A0001442,인천 미추홀,인천주유소,인천 미추홀구 인주대로 286 (주안동),HD현대오일뱅크,셀프
1차,A0007649,인천 서구,가좌금강주유소,인천 서구 장고개로 233 (가좌동),S-OIL,일반
1차,A0006295,인천 연수구,(주)서해에너지,인천 연수구 경원대로 536,SK에너지,셀프
1차,A0032936,인천 서구,청라에너지,인천 서구 봉수대로 690 (연희동),SK에너지,셀프
1차,A0033145,전남 고흥군,거금도농협주유소,전남 고흥군 금산면 거금중앙길 117,NH-OIL,일반
1차,A0022481,전남 여수시,(유) 삼일인,전남 여수시 여수산단로 547 (중흥동),GS칼텍스,일반
1차,A0019958,전남 장성군,(주)장성보해주유소,전남 장성군 장성읍 단풍로 111,SK에너지,일반
1차,A0021966,전남 순천시,남선석유㈜ 서순천셀프주유소,전남 순천시 중앙로 511,S-OIL,셀프
1차,A0018496,전북 군산시,서원주유소,전북 군산시 옥녀로 18,S-OIL,일반
1차,A0017497,전북 군산시,에스제이오일㈜ 에스제이주유소,전북 군산시 해망로 252,GS칼텍스,셀프
1차,A0017519,전북 군산시,유쾌한주유소,전북 군산시 구암로 97 (구암동),HD현대오일뱅크,셀프
1차,A0017509,전북 군산시,미소주유소,전북 군산시 대학로 618,S-OIL,셀프
1차,A0017627,전북 군산시,SJ오일(주) 스마일주유소,전북 군산시 공단대로 284 (수송동),GS칼텍스,셀프
1차,A0018737,전북 정읍시,주천삼거리 주유소,전북 정읍시 소성로 639,SK에너지,셀프
1차,A0022488,전북 익산시,지에스칼텍스㈜ 연세주유소,전북 익산시 부송로 33,GS칼텍스,셀프
1차,A0031123,제주 제주시,구좌농협주유소,제주특별자치도 제주시 구좌읍 일주동로,NH-OIL,일반
1차,A0030868,제주 제주시,고산주유소,제주 제주시 한경면 고산로 5,GS칼텍스,일반
1차,A0031125,제주 서귀포,대정농협무릉주유소,제주 서귀포시 대정읍 서삼중로 66,NH-OIL,일반
1차,A0031107,제주 서귀포,대정농협주유소,제주 서귀포시 대정읍 상모대서로 55,NH-OIL,일반
1차,A0031011,제주 서귀포,모슬포행운주유소,제주 서귀포시 대정읍 일주서로 2419,SK에너지,일반
1차,A0030821,제주 서귀포,산방주유소,제주특별자치도 서귀포시 대정읍 신영로,SK에너지,일반
1차,A0030982,제주 제주시,중앙주유소,제주 제주시 구좌읍 구좌로 74,SK에너지,일반
1차,A0014667,충남 부여군,용정self주유소,충남 부여군 부여읍 백제문화로 136,SK에너지,셀프
1차,A0015959,충남 천안시,서천안 ㈜오일컴퍼니,충남 천안시 동남구 풍세로 689,HD현대오일뱅크,셀프
1차,A0014318,충남 공주시,천지주유소,충남 공주시 정안면 차령로 3270,GS칼텍스,일반
1차,A0001186,충남 천안시,대원주유소,충남 천안시 동남구 충절로 261 (구성동,SK에너지,셀프
1차,A0016217,충남 아산시,중도석유(주)중도행복주유소,충남 아산시 배방읍 고속철대로 171,GS칼텍스,셀프
1차,A0016454,충북 단양군,하이테크에너지(주)단양하이테크주유소,충북 단양군 매포읍 단양로 2727,SK에너지,셀프
1차,A0023201,충북 단양군,단양사랑주유소,충북 단양군 매포읍 단양로 2478,S-OIL,셀프
1차,A0017260,충북 청주시,동찬주유소,충북 청주시 흥덕구 오송읍 서평길 22-1,S-OIL,셀프
1차,A0013440,충북 제천시,신동주유소,충북 제천시 내토로 134,GS칼텍스,셀프
2차,A0010404,강원 화천군,대현주유소,강원 화천군 화천읍 평화로 117,S-OIL,일반
2차,A0005090,경기 파주시,광탄셀프주유소,경기 파주시 광탄면 혜음로 1178,SK에너지,셀프
2차,A0003754,경기 여주시,코리아주유소,경기 여주시 대신면 여양로 2012,GS칼텍스,셀프
2차,A0003386,경기 안성시,㈜두한 동안성주유소,경기 안성시 삼죽면 서동대로 6034,S-OIL,셀프
2차,A0001977,경기 군포시,대신석유(주)당리주유소,경기 군포시 용호1로1번길 16 (당동),SK에너지,셀프
2차,A0004251,경기 양주시,금강주유소,경기 양주시 부흥로 1643,S-OIL,셀프
2차,A0002242,경기 화성시,구장주유소,경기 화성시 만세구 팔탄면 푸른들판로,SK에너지,일반
2차,A0029651,경남 통영시,HD현대오일뱅크㈜직영 통영주유소,경남 통영시 안개로 22 (무전동),HD현대오일뱅크,일반
2차,A0029592,경남 거제시,해금강주유소,경남 거제시 동부면 거제중앙로 659,SK에너지,일반
2차,A0029745,경남 진주시,대양주유소,경남 진주시 망경로 272 (망경동),GS칼텍스,일반
2차,A0029290,경남 합천군,동산주유소,경남 합천군 초계면 동부로 1045,HD현대오일뱅크,셀프
2차,A0025824,경북 봉화군,부래주유소,경북 봉화군 석포면 청옥로 1762,SK에너지,일반
2차,A0024643,경북 포항시,용산주유소,경북 포항시 남구 오천읍 정몽주로 189,GS칼텍스,일반
2차,A0020427,광주 광산구,송촌주유소,광주 광산구 동곡로 656,HD현대오일뱅크,일반
2차,A0020262,광주 광산구,진영주유소,광주 광산구 송도로 292 (송정동),SK에너지,일반
2차,A0020130,광주 광산구,하남현대주유소(H),광주 광산구 임곡로 573 (안청동),HD현대오일뱅크,일반
2차,A0024943,대구 군위군,동부주유소,대구광역시 군위군 군위읍 군청로 15,SK에너지,일반
2차,A0025227,대구 군위군,이화주유소,대구광역시 군위군 우보면 동부로 1616,GS칼텍스,일반
2차,A0000249,대전 유성구,SK에너지㈜ 유공셀프주유소,대전 유성구 유성대로 614 (구암동),SK에너지,셀프
2차,A0016699,대전 유성구,대광주유소,대전 유성구 금남구즉로 1355 (봉산동),S-OIL,일반
2차,A0027766,부산 부산진,남부산고속주유소,부산 부산진구 거제대로 84 (양정동),S-OIL,셀프
2차,A0027672,부산 강서구,대양산업(주)대양가덕주유소,부산 강서구 거가대로 2571,GS칼텍스,셀프
2차,A0027607,부산 사상구,HD현대오일뱅크㈜직영 감전주유소,부산 사상구 낙동대로 978 (감전동),HD현대오일뱅크,일반
2차,A0027039,부산 중구,고려주유소,부산 중구 대청로 153 (중앙동5가),SK에너지,일반
2차,A0000482,서울 강서구,박물관주유소,서울 강서구 양천로53길 97 (가양동),GS칼텍스,일반
2차,A0010207,서울 강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,셀프
2차,A0009240,서울 동대문,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,셀프
2차,A0011828,서울 서초구,양재주유소,서울 서초구 바우뫼로 178,SK에너지,일반
2차,A0010154,서울 성동구,동일주유소,서울 성동구 광나루로 254 (성수동2가),GS칼텍스,일반
2차,A0000855,서울 구로구,대원셀프주유소,서울 구로구 개봉로 7,HD현대오일뱅크,셀프
2차,A0009916,서울 서초구,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,셀프
2차,A0010138,서울 노원구,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,셀프
2차,A0009828,서울 강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,셀프
2차,A0014466,세종시,(주)한유에너지 중부주유소,세종시 조치원읍 세종로 2167,SK에너지,셀프
2차,A0012125,세종시,차사랑주유소,세종 부강면 부강외천로 271,S-OIL,일반
2차,A0014194,세종시,연기주유소,세종특별자치시 연기면 당산로 116,GS칼텍스,일반
2차,A0033210,세종시,세종부강농협주유소,세종특별자치시 부강면 부강외천로 10,NH-OIL,셀프
2차,A0031640,울산 북구,양정주유소,울산 북구 염포로 499 (양정동),HD현대오일뱅크,일반
2차,A0028953,울산 울주군,동남주유소,울산 울주군 온양읍 광청로 305,S-OIL,셀프
